,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
NO_GTUR_GAS,NO_GTUR_GAS,63.58679459954679,8.0,NO,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
NO_HDAM_WAT,NO_HDAM_WAT,31836.940000000053,1.0,NO,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,76191000.0,,,,0,0
NO_HPHS_WAT,NO_HPHS_WAT,1344.3,1.0,NO,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,6721.5,0.0,1344.3,0.8,0,0
NO_WTOF_WIN,NO_WTOF_WIN,1204.7,1.0,NO,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
NO_PHOT_SUN,NO_PHOT_SUN,68.4,1.0,NO,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
NO_COMC_GAS_CHP,NO_COMC_GAS_CHP,404.4664610613373,1.0,NO,NO_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
NO_GTUR_GAS_CHP,NO_GTUR_GAS_CHP,63.04787637533044,7.0,NO,NO_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
NO_BATS_OTH,NO_BATS_OTH,4258.0,1.0,NO,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,17032.0,0.0,4258.0,0.95,0,0
