,CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC,Cost_[E/MWh],Congestion_[h],PeakLoad_[MW],MaxCurtailment_[MW],MaxLoadShedding_[MW],Demand_[TWh],NetImports_[TWh],Curtailment_[TWh],Shedding_[TWh],LostLoad_[TWh],TotalRESGeneration_[TWh],CurtailmentToRESGeneration_[%],TotalGeneration_[TWh],ShareResGeneration_[%],CF_gas,CF_nuc,CF_wat,CF_win,CF_sun,GAMS_error,MaxRESGeneration_[TWh]
1264,1.1340887100386037,0.8281977444705563,0.4870447358689223,0.0729641154888956,0.029750686640099,0.2388736169194315,151.17151726356036,369216.0,440929.4124966354,0.1247938780923621,1423.526902952315,2843.1224748846435,0.0,64.9029537174864,1.2154162993672885e-06,0.2358730806522819,383.76927144942806,7.3105833763476396,2912.6297533472234,13.176040346645385,0.2940411980756527,0.9495914902551056,0.2378486716137139,0.2178680272549579,0.131693202731029,0,887.7944532781166
1265,1.443676458276255,0.7357748724955357,0.316700220200139,0.3896122925425077,0.2671026579338121,0.6789140166817241,90.1471130558999,355308.0,440929.4124966354,1.1331851174235423,0.0,2843.1224748846435,0.0,2318.6755039318978,0.0,-1.291483006193945e-15,1369.3697713126337,57.46170919971785,3015.0348696209257,45.41804093578533,0.0918319179872895,0.4493649248810015,0.2549456816468773,0.0755654399873028,0.0767301266150861,1,4035.1662632814323
1266,1.3661201780421417,0.8968966527400318,0.1564374971506323,0.4118097406344023,0.1145422920454679,0.5302268201545234,90.9743003618029,344326.0,440929.4124966354,0.8650248206582258,0.0,2843.1224748846435,0.0,1658.0600597819332,0.0,-1.308390756648356e-15,1087.7979692258534,53.01315236439818,2928.2991040353736,37.14777522988693,0.1774270785658409,0.8877737334240962,0.2478720308882462,0.0850192306360295,0.1140181502808207,1,3127.639059048731
1267,0.9435890302951724,0.2946914093075287,0.2808324175010069,0.380354005096961,0.1236743353752989,0.6134280323337353,86.4130686338188,337601.0,440929.4124966354,0.5581201104528772,0.0,2843.1224748846435,0.0,954.780836487157,0.0,-9.674749890109526e-19,885.0590465055993,42.898576340033564,2929.450234780277,30.212462256488312,0.0848242655819553,0.4232943413650321,0.2457769982652497,0.1105150270465403,0.1194423117445805,1,2225.6702155314692
1268,0.8866532527990357,0.8980051889867193,0.1360588520317791,0.1745865502997555,0.1319733383592526,0.1919810187680876,150.09899325110007,376400.0,440929.4124966354,0.2542219381566267,1423.5269029523158,2843.1224748846435,0.0,295.96908337889573,1.1778777059899269e-06,0.2330500748264242,777.3329130350517,19.983540082620795,2915.0863977959693,26.665861897704836,0.2433983826838526,0.9403200472916732,0.2411824347246498,0.1720306656036358,0.1255318646378659,0,1481.064326717031
1269,1.3961422988027108,0.2463460928193913,0.338957522082892,0.3385637288030149,0.0695519456770661,0.5848934681369269,86.16452273688041,338550.0,440929.4124966354,0.7159347027216405,0.0,2843.1224748846435,0.0,1323.1507362329978,0.0,0.0,857.5396875690155,51.60799390089089,2920.3714798222463,29.36406184946071,0.0916895482228576,0.4114349066357581,0.242603790258824,0.09265707761316,0.1202890857314495,1,2563.848420021916
1270,1.1027911271840507,0.8685709930490703,0.3933870185776485,0.2171965744370042,0.1243272482207001,0.0893509535729652,225.1346831599464,399131.0,440929.4124966354,0.3925745103106186,1423.5269029523167,2843.1224748846435,0.0,578.654317546452,1.485589246577998e-06,0.5032506963739553,897.6236958245665,30.939176139021182,2964.926615107396,30.274735679825675,0.2077617950495083,0.8930030483057274,0.2353176979775964,0.1398094166375907,0.120122794957264,0,1870.29646473566
1271,0.6302752301450159,0.8213456000660536,0.1438732131427604,0.4229149545080112,0.1206319793515073,0.6585066536784031,91.32953915620452,329795.0,440929.4124966354,0.3832443335082848,0.0,2843.1224748846435,0.0,528.3220142521934,0.0,-1.3116350402850788e-15,781.272885444295,30.590705686920113,2902.1103258625003,26.920854058575543,0.1998006168984151,0.8817455765968485,0.2481170017787844,0.1477389011017122,0.1292522556752554,1,1727.0671022084064
1272,0.897811982589172,0.5687274983650029,0.0073680010540042,0.1824058253320745,0.3293718412396174,0.446785994770045,89.22874945423307,350068.0,440929.4124966354,0.5967537044844117,0.0,2843.1224748846435,0.0,809.7405699990966,0.0,-8.910205906431655e-19,1040.2212251223657,36.44320233039921,2908.617960576892,35.76341888901936,0.110705227147705,0.491802564255473,0.2601769021844597,0.1448497059023946,0.0853566660351048,1,2221.9248535237775
1273,0.8072584867929492,0.3804508152298294,0.4645247726198669,0.432086493246506,0.4021903082133,0.5731600035688098,85.51909735663813,358279.0,440929.4124966354,0.7973144335189404,0.0,2843.1224748846435,0.0,1435.8796745136297,0.0,0.0,1223.504487979577,47.658148198909906,3022.340911894182,40.48201455913105,0.0652611795794041,0.3378880743630963,0.2494121440527969,0.1025594071299086,0.0829472233822084,1,3012.873409434051
1274,0.7937493712601866,0.7740117716004491,0.1884202408785621,0.1585307825826593,0.1391121039016143,0.5585901652711649,91.45298627124164,344238.0,440929.4124966354,0.2024622514017509,0.0,2843.1224748846435,0.0,191.04657787312476,0.0,-1.3308915982825937e-15,740.4962371076235,14.161160997459218,2929.0054733514207,25.281490384527498,0.1885070695193283,0.850517266433473,0.2501501241755327,0.1907289779824525,0.1281513554979067,1,1349.088382706772
1275,0.7372228191900394,0.5879122343325185,0.1975716374647233,0.3537709220261875,0.3459355966221019,0.0921286964738142,90.08756600614396,399733.0,440929.4124966354,0.6130430531186128,0.0,2843.1224748846435,0.0,1011.5464661629616,0.0,6.831813888933962e-18,1045.5861302368326,41.879878588564594,2955.709206818342,35.3751352746351,0.134000126607234,0.4742564823560669,0.2412400872619826,0.1170177713386145,0.0900488263489656,0,2415.3519548148042
1276,1.5706738462260197,0.5744448066992842,0.182734868437892,0.0446857353390934,0.3001672514226149,0.488348690494303,88.16190068167481,358506.0,440929.4124966354,0.8519961453929848,0.0,2843.1224748846435,0.0,1071.1125678181645,0.0,0.0,1139.6840872930595,41.57477070917096,3020.049865683479,37.737260574508205,0.0925774425161989,0.4770282516330559,0.2658944694721071,0.1761877239006604,0.0695090722081244,1,2576.352315472634
