,CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC,Cost_[E/MWh],Congestion_[h],PeakLoad_[MW],MaxCurtailment_[MW],MaxLoadShedding_[MW],Demand_[TWh],NetImports_[TWh],Curtailment_[TWh],Shedding_[TWh],LostLoad_[TWh],MaxRESGeneration_[TWh],CurtailmentToRESGeneration_[%],TotalGeneration_[TWh],ShareRESGeneration_[%],MaxLoadSheddingShare_[%],CF_gas,CF_nuc,CF_wat,CF_win,CF_sun,GAMS_error,SheddingToDemand_[%]
2153,0.8240147758568402,0.3320274403299276,0.1178016075498861,0.422797017237935,0.0305882516949853,0.5018262359997018,89.2240793794806,342118.0,440929.4124966354,0.4914840733242988,0.0,2843.1224748846435,0.0,800.6062744167435,0.0,-3.2741809263825423e-18,1824.739718001423,43.87509443229641,2891.188752426473,6.311382183089854e-05,0.0,0.1270475518519788,0.5035770745778788,0.242138144127058,0.1236532573898624,0.1260893556464923,1,0.0
2154,1.085950210576629,0.1109582657986262,0.4134716729433474,0.2535940875536642,0.1146590050078161,0.6246605059619329,85.20983291529312,337219.0,440929.4124966354,0.4448542553244038,0.0,2843.1224748846435,0.0,698.8964765032711,0.0,0.0,1951.473331147088,35.81378568429913,2955.2073970024185,6.603507195896109e-05,0.0,0.1179234236354703,0.4148077349518088,0.2419006877715921,0.1313177122534394,0.1142463057142545,0,0.0
2155,1.5193004325031747,0.6924646789037432,0.2226153304582076,0.0583570052911249,0.2787952611510005,0.1779584210436315,90.15438455564954,390864.0,440929.4124966354,0.7726337624207931,0.0,2843.1224748846435,0.0,966.934981922909,0.0,6.831813888933963e-18,2454.101750838778,39.40076981699817,3019.755458199673,8.126822800088164e-05,0.0,0.1322757590162154,0.515506097468317,0.2531658847622491,0.1695306901529409,0.0736129860535098,0,0.0
2156,0.9759243680412124,0.3869158661164579,0.1543918523318092,0.2048672684424186,0.4336778721847678,0.2822239225176349,86.15909488057925,377009.0,440929.4124966354,0.8783718936296059,0.0,2843.1224748846435,0.0,1348.2178520209047,0.0,-1.8189894035458564e-18,2859.401942929111,47.1503439855615,2984.467389672263,9.580945507476676e-05,0.0,0.0812104113286831,0.3571970784862243,0.2538107375198333,0.1279302390831928,0.0678888601124557,0,0.0
2157,1.7259053177811805,0.2355629274441009,0.2006909135147712,0.4885683869509075,0.3274546673580595,0.0883040375490761,84.62721922817241,401865.0,440929.4124966354,1.7872620927928329,0.0,2843.1224748846435,0.0,4168.1069694712005,0.0,0.0,5772.57211323671,72.20536855509498,2997.1612640610874,0.0001926013185361,0.0,0.0867620627354499,0.2539719540819058,0.2417877274924341,0.0450343107368811,0.0531531198713574,0,0.0
2158,1.2693147568675565,0.0375357953814606,0.1138650494839537,0.0581689178764422,0.3988836604265126,0.0098811825316848,871.1667896004793,409365.0,440929.4124966354,0.9527331915373368,679.9393251919586,2843.1224748846435,0.0,1355.8447443048033,4.060615118972251e-06,2.887214491420344,2727.751029724525,49.70559004579424,2987.3261673765155,9.131078686730914e-05,0.2254458857103273,0.1835857476350561,0.3485982567414105,0.242470773497615,0.1635451683950112,0.0585118053864767,0,1.4282237767956183e-07
2159,1.1401940594951188,0.4709362871291165,0.138593779689892,0.2973719246153568,0.092259482173635,0.1978716451977844,89.85339046976088,376137.0,440929.4124966354,0.5270426655355409,0.0,2843.1224748846435,0.0,913.7271935938484,0.0,0.0,2107.597050614333,43.35397951555829,2905.5263934572326,7.253752901230892e-05,0.0,0.1403147485239074,0.494287717857347,0.2385588584571775,0.1106197856245436,0.1183999977094209,0,0.0
2160,1.3879127344107456,0.297632709425268,0.2240468374351446,0.2104521091381436,0.4441577863982962,0.4939791819150971,84.18254030445668,361822.0,440929.4124966354,1.3470183429436058,0.0,2843.1224748846435,0.0,2303.443498640225,0.0,0.0,3961.774814085088,58.1417068544864,3022.425343344804,0.0001310793274946,0.0,0.0673001532955471,0.27257469791746,0.2588240351873608,0.0997377409083433,0.0543069885441902,1,0.0
2161,1.2467641343348084,0.6540261414600551,0.4766438745917087,0.468913547780599,0.4121598815005548,0.3516860642463947,88.76632356001416,382251.0,440929.4124966354,1.3710192648714927,0.0,2843.1224748846435,0.0,2873.2459426300893,0.0,6.831813888933962e-18,4624.321471744884,62.13335210767547,3066.9875806043683,0.0001507773132499,0.0,0.0827436739793151,0.3445578857265641,0.2491367704632001,0.0694062050277405,0.0625699852384585,0,0.0
2162,1.503425310830844,0.8709064370210132,0.0162564102349304,0.284912426110512,0.495146161635674,0.399565994091326,90.4961574037972,363891.0,440929.4124966354,1.7570521722061012,0.0,2843.1224748846435,0.0,3212.970443926182,0.0,-1.299671235909571e-15,4966.751484897096,64.68957534308262,2937.9595961320592,0.0001690544516485,0.0,0.1212617909229258,0.5630418321930358,0.2616654939636172,0.0837446399462801,0.0456746577712931,1,0.0
2163,1.5413313935369282,0.046440213669498,0.1438551627143267,0.0134698639098416,0.2574424908186586,0.0363489074223242,641.9799022156474,404505.0,440929.4124966354,0.6951907648649995,679.9393251919586,2843.1224748846435,0.0,860.0061953667616,3.925514463090987e-06,2.04416284217103,2099.894683828441,40.954729872396925,2995.146409810053,7.010991773058643e-05,0.2147365127253413,0.1727165995565336,0.4214298260653855,0.2443934018218497,0.1893645011703114,0.0701585260401278,0,1.3807053680479454e-07
2164,1.2338037515799456,0.0590743411578948,0.0952980778567759,0.445555715315599,0.2881055260950027,0.4500074525450196,84.22395370045412,362708.0,440929.4124966354,1.0900134810376552,594.0158299959633,2843.1224748846435,0.0,2360.6512995585067,1.0108747294584077e-07,0.0,3869.143723236927,61.01224116801702,2950.5642513002244,0.0001311323324524,0.1394581239604312,0.1306719964142346,0.3041170914785836,0.2464963160259379,0.0747694144476754,0.0664734062823461,0,3.55550891102369e-09
2165,1.2214365215753762,0.1699681842776184,0.4596897584067147,0.1413935513702777,0.3646696673167174,0.5618132542138738,83.09003685017642,360207.0,440929.4124966354,0.9056011444234816,0.0,2843.1224748846435,0.0,1256.5917165546325,0.0,-3.610693966038525e-16,2847.7897237801985,44.12515805017422,3102.17747238316,9.179970356732892e-05,0.0,0.0839653622172967,0.3031681124116605,0.2554068764741024,0.1360558911585212,0.0722330500182236,1,0.0
